user_id,name,screen_name,description,off_name,url.y,cessato,gruppo,url_gruppo,sub_gruppo,sub_gruppo_url
x976863849793163268,Valentina Palmisano,valentinaM5S,"Deputato del MoVimento 5 Stelle, Avvocato, componente della Commissione Giustizia e della Giunta per il Regolamento",palmisano valentina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307338&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
x973305100612534277,Francesca Flati,francesca_flati,Deputata del Movimento 5 Stelle,flati francesca,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307445&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
x973150770873929731,nicola grimaldi m5s,GrimaldM5s,"Deputato del Movimento 5 Stelle; Capogruppo della Commissione Finanze;
Membro della commissione parlamentare per l'attuazione del federalismo fiscale",grimaldi nicola,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307528&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
x962012305327251456,Marco Rizzone,rizzonem,Parlamentare della Repubblica & Imprenditore,rizzone marco,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307133&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,CENTRO DEMOCRATICO-ITALIANI IN EUROPA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3411&tipoVis=2#misto3411
x961958095650992128,Guido Germano Pettarin,GuidoPettarin,,pettarin guido germano,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307136&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
x961647035027021824,Michele Casino,casino_michele,,casino michele,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307169&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
x960793688627703809,Alessandro Battilocchio News,AleBattilocchio,"""La politica è la passione della mia vita""",battilocchio alessandro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307456&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
x960596030315212801,Ubaldo Pagano,ubaldopagano,,pagano ubaldo,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307304&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
x959430425256087553,Lorena Milanato,LorenaMilanato,"Deputata di @forza_italia, eletta nel collegio uninominale #AbanoTerme 🇮🇹",milanato lorena,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=300296&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
x959043854547726336,Giusi Bartolozzi,giusibartolozzi,"Parlamentare alla #Camera dei Deputati. Eletta nel collegio Plurinominale #Sicilia - 03 (#Agrigento, #Caltanissetta, #Gela e #MazaraDelVallo), #ForzaItalia.",bartolozzi giusi,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307404&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
