State,Member of Congress,Name,Party,Twitter
Alabama,U.S. Senator,"Shelby, Richard",R,@SenShelby
Alabama,U.S. Senator,"Tuberville, Tommy",R,@Ttuberville
Alabama 1st District,U.S. Representative,"Carl, Jerry",R,@RepJerryCarl
Alabama 2nd District,U.S. Representative,"Moore, Barry",R,@RepBarryMoore
Alabama 3rd District,U.S. Representative,"Rogers, Mike",R,@RepMikeRogers
Alabama 4th District,U.S. Representative,"Aderholt, Robert",R,@Robert_Aderholt
Alabama 5th District,U.S. Representative,"Brooks, Mo",R,@RepMoBrooks
Alabama 6th District,U.S. Representative,"Palmer, Gary",R,@USRepGaryPalmer
Alabama 7th District,U.S. Representative,"Sewell, Terri A.",D,@RepTerriSewell
Alaska,U.S. Senator,"Sullivan, Dan",R,@SenDanSullivan
Alaska,U.S. Senator,"Murkowski, Lisa",R,@lisamurkowski
Alaska At-Large,U.S. Representative,"Young, Don",R,@RepDonYoung
American Samoa At-Large,U.S. Representative,"Radewagen, Amata",R,@RepAmata
Arizona,U.S. Senator,"Kelly, Mark",D,@SenMarkKelly
Arizona,U.S. Senator,"Sinema, Kyrsten",D,@SenatorSinema
Arizona 1st District,U.S. Representative,"O'Halleran, Tom",D,@TomOHalleran
Arizona 2nd District,U.S. Representative,"Kirkpatrick, Ann",D,@RepKirkPatrick
Arizona 3rd District,U.S. Representative,"Grijalva, Raul",D,@RepRaulGrijalva
Arizona 4th District,U.S. Representative,"Gosar, Paul A.",R,@RepGosar
Arizona 5th District,U.S. Representative,"Biggs, Andy",R,@AndyBiggs4AZ
Arizona 6th District,U.S. Representative,"Schweikert, David",R,@RepDavid
Arizona 7th District,U.S. Representative,"Gallego, Ruben",D,@RepRubenGallego
Arizona 8th District,U.S. Representative,"Lesko, Debbie ",R,@RepDLesko
Arizona 9th District,U.S. Representative,"Stanton, Greg",D,@RepGregStanton
Arkansas,U.S. Senator,"Cotton, Tom",R,@SenTomCotton
Arkansas,U.S. Senator,"Boozman, John",R,@JohnBoozman
Arkansas 1st District,U.S. Representative,"Crawford, Rick",R,@RepRickCrawford
Arkansas 2nd District,U.S. Representative,"Hill, French",R,@RepFrenchHill
Arkansas 3rd District,U.S. Representative,"Womack, Steve",R,@rep_stevewomack
Arkansas 4th District,U.S. Representative,"Westerman, Bruce",R,@RepWesterman
California,U.S. Senator,"Feinstein, Dianne",D,@SenFeinstein
California,U.S. Senator,"Padilla, Alex",D,@KamalaHarris
California 1st District,U.S. Representative,"LaMalfa, Doug",R,@RepLaMalfa
California 2nd District,U.S. Representative,"Huffman, Jared",D,@RepHuffman
California 3rd District,U.S. Representative,"Garamendi, John",D,@RepGaramendi
California 4th District,U.S. Representative,"McClintock, Tom",R,@RepMcClintock
California 5th District,U.S. Representative,"Thompson, Mike",D,@RepThompson
California 6th District,U.S. Representative,"Matsui, Doris O.",D,@DorisMatsui
California 7th District,U.S. Representative,"Bera, Ami",D,@RepBera
California 8th District,U.S. Representative,"Obernolte, Jay",R,@JayObernolte
California 9th District,U.S. Representative,"McNerney, Jerry",D,@RepMcNerney
